Date,CU_Cathode_FM,CU_Cathode_US_DOM,CU_Cathode_RSA,CU_Cathode_Rotterdam,CU_Cathode_Germany,CU_Cathode_Shangai,CU_Cathode_Japan,CU_Cathode_Taiwan,CU_Cathode_Seasia,Currency,Unit_of_Measure
2010-12-06,0.00203,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-07,0.00205,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-08,0.00207,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-09,0.00207,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-10,0.00208,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-13,0.00213,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-14,0.00213,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-15,0.00209,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-16,0.00208,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-17,0.0021,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-20,0.00213,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-21,0.00216,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-22,0.00216,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-23,0.00215,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-24,0.00215,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-27,0.00215,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-28,0.00215,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-29,0.00218,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-30,0.00221,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-31,0.00221,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2011-01-03,0.00225,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2011-01-04,0.00221,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2011-01-05,0.00223,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2011-01-06,0.00219,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-05-16,0.00074,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-05-17,0.00075,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-05-18,0.00076,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-05-19,0.00076,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-05-20,0.00077,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-05-23,0.00077,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-05-24,0.00078,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-05-25,0.0008,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-05-26,0.00084,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-05-27,0.00077,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-05-30,0.00077,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
